tweet_count,username,text,created_at,retweets,likes
22,BOLETIM DE OCORRÊNCIA 🇧🇷,"#Boletim de #Ocorrência: 11:41h -⚠️ALERTA⚠️
ACIDENTE NA AVENIDA FRANCISCO BICALHO
&gt; Colisão de carro contra mureta interdita uma faixa da Av. Francisco Bicalho, na altura da Av. Presidente Vargas, no sentido Gasômetro.
Trânsito com retenção no trecho. https://t.co/WMMADtxkLg",Wed Oct 01 14:41:05 +0000 2025,0,0,"acidente, carro, trânsito"
23,VEJA,"Grupo Santa chega a São Paulo com aquisição de hospital em Bauru 

Via @EconomicoRadar  https://t.co/2wsEFmscAS",Tue Sep 16 19:37:57 +0000 2025,0,4,"hospital, radar"
24,tomatinho,queria q a mao daquele segurança que pegou na karina caísse pegasse fogo necrosasse sangrasse ferisse amputasse apodrecesse desintegrasse murchasse enrugasse encolhesse ressecasse deteriorasse dissolvesse despedaçasse carbonizasse dilacerasse desfalecesse gangrenasse e virasse pó,Tue Sep 30 16:59:39 +0000 2025,17,27,fogo
25,RodriguihBR ☁️,"com essa queimada que ta rolando em bauru, ta ruim de respirar ja mano... e acho incrivel que o governo daqui não faz absolutamente nada pra evitar isso",Wed Oct 01 03:49:40 +0000 2025,0,2,queimada
26,g1 Bauru,"⚖️ Justiça suspende pela terceira vez edital de concessão de estação de tratamento de esgoto
https://t.co/Xxbong4vdI #g1 #bauru https://t.co/HJ07VJZpz5",Thu Sep 18 23:27:57 +0000 2025,0,1,esgoto
27,Metrópoles,"⏯️ Um motorista evitou que uma menina de 12 anos fosse vítima de estupr0 nessa segunda-feira (1º/9), em Bauru, São Paulo. Imagens registradas por câmera de segurança mostram o momento em que o homem estaciona e sai do carro após notar a situação para abordar o suspeito do crime, https://t.co/7in6EX77eE",Wed Sep 03 21:00:47 +0000 2025,30,950,"carro, crime, moto"
28,manu,estudando igual os incas maias e astecas pq nesse bosta de cidade chamada Bauru não existe água e nem energia,Sat Sep 27 21:06:52 +0000 2025,0,3,"energia, água"
29,Fúria e Tradição,"Dois ladrões entram numa residência de madrugada para roubar, mas o marido enfrenta os bandidos e consegue espanca-los.

A esposa chamou a polícia que prendeu os bandidos, e o marido decidiu ir junto para a delegacia para se certificar que o BO seria feito.

A surpresa é que o https://t.co/rJN9yf1Vco",Fri May 02 14:02:00 +0000 2025,1877,8404,"bandido, delegacia, polícia, presa"
30,g1 Bauru,"Vara da Fazenda Pública determina que companhia restabeleça a energia elétrica em Marília 
https://t.co/BiTII2H8WQ

#g1 #Marília https://t.co/YIOcHoSaXj",Thu Sep 25 17:42:30 +0000 2025,0,0,energia
31,Aruruwii 🚫⭐🩸🐙💎🎼👁️‍🗨️🐱📗🪳🤍🖤❗🐅🌈,"Iwas Gastos
Iwas Gastos
Iwas Gastos
Iwas Gastos
Iwas Gastos
Iwas Gastos
Iwas Gastos
Iwas Gastos",Wed Oct 01 14:38:47 +0000 2025,0,0,Nenhum
